date,total_payments,successful_payments,refunds,transaction_volume,active_users,churned_users
2026-09-01,10400,10000,102,1850000,51000,930
2026-09-02,10800,10400,110,1920000,51400,925
2026-09-03,10600,10200,106,1890000,51800,940
2026-09-04,11200,10700,115,2050000,52100,935
2026-09-05,11000,10550,111,2010000,52500,950
2026-09-06,10900,10450,108,1980000,52900,945
2026-09-07,11100,10650,114,2030000,53200,955
2026-09-08,11050,10600,109,2015000,53600,950
2026-09-09,11300,10850,117,2080000,54000,960
2026-09-10,11500,11000,120,2120000,54300,965
2026-09-11,11400,10900,118,2100000,54700,970
2026-09-12,11600,11100,122,2150000,55100,968
2026-09-13,11700,11200,123,2180000,55400,972
2026-09-14,11800,11300,125,2200000,55800,978
2026-09-15,11900,11200,260,2210000,56100,1650
